CPU_Cores,CPU_Load,Memory_Usage,Disk_IO,Network_Bandwidth,Compute1_Watts,Compute3_Watts
1,40,80,80,80,191,153
1,40,80,80,90,199,151
1,40,80,90,0,192,152
1,40,80,90,20,200,158
1,40,80,90,40,197,161
1,40,80,90,60,183,162
1,40,80,90,80,197,151
1,40,80,90,90,183,155
1,40,90,0,0,182,154
1,40,90,0,20,195,155
1,40,90,0,40,199,152
1,40,90,0,60,199,150
1,40,90,0,80,200,156
1,40,90,0,90,195,154
1,40,90,20,0,196,159
1,40,90,20,20,194,160
1,40,90,20,40,180,154
1,40,90,20,60,182,157
1,40,90,20,80,189,163
1,40,90,20,90,192,153
1,40,90,40,0,201,154
1,40,90,40,20,198,154
1,40,90,40,40,192,162
1,40,90,40,60,192,152
1,40,90,40,80,197,159
1,40,90,40,90,180,153
1,40,90,60,0,181,151
1,40,90,60,20,192,157
1,40,90,60,40,195,157
1,40,90,60,60,195,157
1,40,90,60,80,190,160
1,40,90,60,90,176,156
1,40,90,80,0,190,161
1,40,90,80,20,194,158
1,40,90,80,40,184,152
1,40,90,80,60,190,155
1,40,90,80,80,196,153
1,40,90,80,90,181,160
1,40,90,90,0,195,157
1,40,90,90,20,194,154
1,40,90,90,40,186,153
1,40,90,90,60,180,160
1,40,90,90,80,201,159
1,40,90,90,90,194,154
1,60,0,0,0,180,151
1,60,0,0,20,172,157
1,60,0,0,40,174,153
1,60,0,0,60,174,152
1,60,0,0,80,172,150
1,60,0,0,90,170,157
1,60,0,20,0,173,157
1,60,0,20,20,178,155
1,60,0,20,40,182,153
1,60,0,20,60,183,152
1,60,0,20,80,180,150
1,60,0,20,90,172,152
1,60,0,40,0,174,153
1,60,0,40,20,180,157
1,60,0,40,40,172,152
1,60,0,40,60,179,154
1,60,0,40,80,181,153
1,60,0,40,90,180,154
1,60,0,60,0,181,154
1,60,0,60,20,174,149
1,60,0,60,40,173,151
1,60,0,60,60,179,154
1,60,0,60,80,180,153
1,60,0,60,90,180,154
1,60,0,80,0,179,154
1,60,0,80,20,182,161
1,60,0,80,40,183,164
1,60,0,80,60,172,155
1,60,0,80,80,174,154
1,60,0,80,90,180,155
1,60,0,90,0,180,153
1,60,0,90,20,180,155
1,60,0,90,40,174,155
1,60,0,90,60,175,156
1,60,0,90,80,174,151
1,60,0,90,90,181,154
1,60,20,0,0,186,155
1,60,20,0,20,179,158
1,60,20,0,40,178,153
1,60,20,0,60,177,152
1,60,20,0,80,178,153
1,60,20,0,90,180,153
1,60,20,20,0,179,154
1,60,20,20,20,185,150
1,60,20,20,40,187,154
1,60,20,20,60,186,152
1,60,20,20,80,187,162
1,60,20,20,90,185,155
1,60,20,40,0,186,152
1,60,20,40,20,188,151
1,60,20,40,40,186,153
1,60,20,40,60,186,153
1,60,20,40,80,188,154
1,60,20,40,90,184,155
1,60,20,60,0,186,154
1,60,20,60,20,179,152
1,60,20,60,40,180,154
1,60,20,60,60,185,154
1,60,20,60,80,179,154
1,60,20,60,90,189,152
1,60,20,80,0,178,155
1,60,20,80,20,177,154
1,60,20,80,40,186,155
1,60,20,80,60,178,156
1,60,20,80,80,181,153
1,60,20,80,90,187,152
1,60,20,90,0,193,162
1,60,20,90,20,193,153
1,60,20,90,40,190,154
1,60,20,90,60,185,151
1,60,20,90,80,181,152
1,60,20,90,90,187,156
1,60,40,0,0,187,151
1,60,40,0,20,179,153
1,60,40,0,40,179,154
1,60,40,0,60,180,152
1,60,40,0,80,183,155
1,60,40,0,90,182,156
1,60,40,20,0,181,152
1,60,40,20,20,185,152
1,60,40,20,40,177,154
1,60,40,20,60,182,154
1,60,40,20,80,178,155
1,60,40,20,90,183,154
1,60,40,40,0,180,158
1,60,40,40,20,193,160
1,60,40,40,40,185,154
1,60,40,40,60,188,152
1,60,40,40,80,179,153
1,60,40,40,90,182,162
1,60,40,60,0,180,154
1,60,40,60,20,177,154
1,60,40,60,40,181,154
1,60,40,60,60,181,150
1,60,40,60,80,183,155
1,60,40,60,90,191,154
1,60,40,80,0,185,153
1,60,40,80,20,180,154
1,60,40,80,40,178,152
1,60,40,80,60,184,154
1,60,40,80,80,181,154
1,60,40,80,90,182,157
1,60,40,90,0,178,151
1,60,40,90,20,179,154
1,60,40,90,40,182,154
1,60,40,90,60,178,162
1,60,40,90,80,175,153
1,60,40,90,90,178,150
1,60,60,0,0,203,153
1,60,60,0,20,195,151
1,60,60,0,40,196,156
1,60,60,0,60,195,155
1,60,60,0,80,196,152
1,60,60,0,90,194,160
1,60,60,20,0,195,161
1,60,60,20,20,195,154
1,60,60,20,40,195,154
1,60,60,20,60,205,152
1,60,60,20,80,199,152
1,60,60,20,90,204,153
1,60,60,40,0,188,154
1,60,60,40,20,200,154
1,60,60,40,40,202,153
1,60,60,40,60,201,152
1,60,60,40,80,203,153
1,60,60,40,90,182,152
1,60,60,60,0,189,154
1,60,60,60,20,196,154
1,60,60,60,40,203,152
1,60,60,60,60,198,161
1,60,60,60,80,204,158
1,60,60,60,90,200,157
1,60,60,80,0,201,155
1,60,60,80,20,195,153
1,60,60,80,40,194,152
1,60,60,80,60,197,153
1,60,60,80,80,203,152
1,60,60,80,90,197,152
1,60,60,90,0,195,153
1,60,60,90,20,194,152
1,60,60,90,40,204,154
1,60,60,90,60,201,153
1,60,60,90,80,201,152
1,60,60,90,90,199,155
1,60,80,0,0,202,162
1,60,80,0,20,193,160
1,60,80,0,40,201,161
1,60,80,0,60,194,157
1,60,80,0,80,211,154
1,60,80,0,90,193,155
1,60,80,20,0,195,154
1,60,80,20,20,195,153
1,60,80,20,40,202,150
1,60,80,20,60,199,152
1,60,80,20,80,202,153
1,60,80,20,90,201,155
1,60,80,40,0,191,153
1,60,80,40,20,196,153
1,60,80,40,40,195,154
1,60,80,40,60,194,154
1,60,80,40,80,181,153
1,60,80,40,90,197,154
1,60,80,60,0,184,153
1,60,80,60,20,200,152
1,60,80,60,40,192,155
1,60,80,60,60,195,152
1,60,80,60,80,185,154
1,60,80,60,90,201,154
1,60,80,80,0,193,151
1,60,80,80,20,195,155
1,60,80,80,40,200,150
1,60,80,80,60,195,155
1,60,80,80,80,195,151
1,60,80,80,90,201,150
1,60,80,90,0,203,157
1,60,80,90,20,183,153
1,60,80,90,40,204,152
1,60,80,90,60,200,152
1,60,80,90,80,187,154
1,60,80,90,90,197,153
1,60,90,0,0,195,155
1,60,90,0,20,196,161
1,60,90,0,40,186,159
1,60,90,0,60,194,161
1,60,90,0,80,196,153
1,60,90,0,90,202,154
1,60,90,20,0,179,158
1,60,90,20,20,188,155
1,60,90,20,40,181,163
1,60,90,20,60,195,156
1,60,90,20,80,191,152
1,60,90,20,90,179,161
1,60,90,40,0,198,162
